Unit,Bird_ID,Hemisphere,Track,Depth,Unit_letter,Method,Accuracy,Stimulus
W32_Rhem_1_2.95_B,W32,Rhem,1,2.95,B,rcorr,0.390777778,Female_call
W32_Rhem_1_2.95_B,W32,Rhem,1,2.95,B,rcorr,0.232666667,Male_song_1
W32_Rhem_1_2.95_B,W32,Rhem,1,2.95,B,rcorr,0.247,Male_song_2
W32_Rhem_1_2.95_B,W32,Rhem,1,2.95,B,rcorr,0.165888889,Male_song_3
W32_Rhem_1_2.95_B,W32,Rhem,1,2.95,B,rcorr,0.343888889,White_noise
W32_Rhem_1_2.95_C,W32,Rhem,1,2.95,C,rcorr,0.367777778,Female_call
W32_Rhem_1_2.95_C,W32,Rhem,1,2.95,C,rcorr,0.224777778,Male_song_1
W32_Rhem_1_2.95_C,W32,Rhem,1,2.95,C,rcorr,0.238333333,Male_song_2
W32_Rhem_1_2.95_C,W32,Rhem,1,2.95,C,rcorr,0.188555556,Male_song_3
W32_Rhem_1_2.95_C,W32,Rhem,1,2.95,C,rcorr,0.269222222,White_noise
W32_Rhem_1_3.00_A,W32,Rhem,1,3,A,rcorr,0.195444444,Female_call
W32_Rhem_1_3.00_A,W32,Rhem,1,3,A,rcorr,0.23,Male_song_1
W32_Rhem_1_3.00_A,W32,Rhem,1,3,A,rcorr,0.271333333,Male_song_2
W32_Rhem_1_3.00_A,W32,Rhem,1,3,A,rcorr,0.214555556,Male_song_3
W32_Rhem_1_3.00_A,W32,Rhem,1,3,A,rcorr,0.432777778,White_noise
W32_Rhem_1_3.00_B,W32,Rhem,1,3,B,rcorr,0.312,Female_call
W32_Rhem_1_3.00_B,W32,Rhem,1,3,B,rcorr,0.234222222,Male_song_1
W32_Rhem_1_3.00_B,W32,Rhem,1,3,B,rcorr,0.212777778,Male_song_2
W32_Rhem_1_3.00_B,W32,Rhem,1,3,B,rcorr,0.299222222,Male_song_3
W32_Rhem_1_3.00_B,W32,Rhem,1,3,B,rcorr,0.313111111,White_noise
W32_Rhem_1_3.05_A,W32,Rhem,1,3.05,A,rcorr,0.286888889,Female_call
W32_Rhem_1_3.05_A,W32,Rhem,1,3.05,A,rcorr,0.188555556,Male_song_1
W32_Rhem_1_3.05_A,W32,Rhem,1,3.05,A,rcorr,0.283444444,Male_song_2
W32_Rhem_1_3.05_A,W32,Rhem,1,3.05,A,rcorr,0.197444444,Male_song_3
W32_Rhem_1_3.05_A,W32,Rhem,1,3.05,A,rcorr,0.286888889,White_noise
W32_Rhem_1_3.05_B,W32,Rhem,1,3.05,B,rcorr,0.185555556,Female_call
W32_Rhem_1_3.05_B,W32,Rhem,1,3.05,B,rcorr,0.248,Male_song_1
W32_Rhem_1_3.05_B,W32,Rhem,1,3.05,B,rcorr,0.220222222,Male_song_2
