Unit_ID,Bird_ID,Hemisphere,Trial,Unit_letter,Stimulus,p.value
W32_Rhem_T1TRIAL2.40_A,W32,Rhem,T1TRIAL2.40,A,Male_song_3,0.00390625
W32_Rhem_T1TRIAL2.40_B,W32,Rhem,T1TRIAL2.40,B,Male_song_3,0.005859375
W32_Rhem_T1TRIAL2.45_A,W32,Rhem,T1TRIAL2.45,A,Male_song_3,0.009765625
W32_Rhem_T1TRIAL2.45_B,W32,Rhem,T1TRIAL2.45,B,Male_song_3,0.009765625
W32_Rhem_T1TRIAL2.50_A,W32,Rhem,T1TRIAL2.50,A,Male_song_3,1
W32_Rhem_T1TRIAL2.50_B,W32,Rhem,T1TRIAL2.50,B,Male_song_3,0.918760096
W32_Rhem_T1TRIAL2.55_A,W32,Rhem,T1TRIAL2.55,A,Male_song_3,0.23613697
W32_Rhem_T1TRIAL2.55_B,W32,Rhem,T1TRIAL2.55,B,Male_song_3,0.193359375
W32_Rhem_T1TRIAL2.60_A,W32,Rhem,T1TRIAL2.60,A,Male_song_3,0.009029911
W32_Rhem_T1TRIAL2.60_B,W32,Rhem,T1TRIAL2.60,B,Male_song_3,0.001953125
W32_Rhem_T1TRIAL2.65_A,W32,Rhem,T1TRIAL2.65,A,Male_song_3,0.005857099
W32_Rhem_T1TRIAL2.65_B,W32,Rhem,T1TRIAL2.65,B,Male_song_3,0.001953125
W32_Rhem_T1TRIAL2.69_A,W32,Rhem,T1TRIAL2.69,A,Male_song_3,0.036535984
W32_Rhem_T1TRIAL2.69_B,W32,Rhem,T1TRIAL2.69,B,Male_song_3,0.012772495
W32_Rhem_T1TRIAL2.73_A,W32,Rhem,T1TRIAL2.73,A,Male_song_3,0.155131569
W32_Rhem_T1TRIAL2.73_B,W32,Rhem,T1TRIAL2.73,B,Male_song_3,0.012772495
W32_Rhem_T1TRIAL2.85_A,W32,Rhem,T1TRIAL2.85,A,Male_song_3,0.838360234
W32_Rhem_T1TRIAL2.85_B,W32,Rhem,T1TRIAL2.85,B,Male_song_3,0.260950463
W32_Rhem_T1TRIAL2.88_A,W32,Rhem,T1TRIAL2.88,A,Male_song_3,0.005857099
W32_Rhem_T1TRIAL2.88_B,W32,Rhem,T1TRIAL2.88,B,Male_song_3,0.212720071
W32_Rhem_T1TRIAL2.88_C,W32,Rhem,T1TRIAL2.88,C,Male_song_3,0.073520656
W32_Rhem_T1TRIAL2.95_A,W32,Rhem,T1TRIAL2.95,A,Male_song_3,0.362137575
W32_Rhem_T1TRIAL2.95_B,W32,Rhem,T1TRIAL2.95,B,Male_song_3,1
W32_Rhem_T1TRIAL2.95_C,W32,Rhem,T1TRIAL2.95,C,Male_song_3,0.672051769
W32_Rhem_T1TRIAL3.00_A,W32,Rhem,T1TRIAL3.00,A,Male_song_3,0.00588927
W32_Rhem_T1TRIAL3.00_B,W32,Rhem,T1TRIAL3.00,B,Male_song_3,0.202328308
W32_Rhem_T1TRIAL3.05_A,W32,Rhem,T1TRIAL3.05,A,Male_song_3,0.921875
W32_Rhem_T1TRIAL3.05_B,W32,Rhem,T1TRIAL3.05,B,Male_song_3,0.759614489
W32_Rhem_T1TRIAL3.05_C,W32,Rhem,T1TRIAL3.05,C,Male_song_3,0.431640625
Bl86-R20_Lhem_T2TRIAL3.90_A,Bl86-R20,Lhem,T2TRIAL3.90,A,White_noise,0.44429079
Bl86-R20_Lhem_T2TRIAL3.90_B,Bl86-R20,Lhem,T2TRIAL3.90,B,White_noise,1
Bl86-R20_Lhem_T2TRIAL3.90_C,Bl86-R20,Lhem,T2TRIAL3.90,C,White_noise,0.031976819
Bl86-R20_Lhem_T2TRIAL4.00_A,Bl86-R20,Lhem,T2TRIAL4.00,A,White_noise,0.87832485
Bl86-R20_Lhem_T2TRIAL4.00_B,Bl86-R20,Lhem,T2TRIAL4.00,B,White_noise,0.183430619
Bl86-R20_Lhem_T2TRIAL4.00_C,Bl86-R20,Lhem,T2TRIAL4.00,C,White_noise,0.625
R37-R3_Lhem_T2TRIAL2.45_A,R37-R3,Lhem,T2TRIAL2.45,A,White_noise,0.725963626
